Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.01558"
"0.10000","0.48920","0.02085"
"0.20000","1.00810","0.11516"
"0.30000","1.50994","0.19593"
"0.40000","2.00997","0.27099"
"0.50000","2.50977","0.33044"
"0.60000","3.00985","0.39208"
"0.70000","3.50999","0.46037"
"0.80000","4.01007","0.51969"
"0.90000","4.51004","0.57475"
"1.00000","5.00996","0.63118"
"1.10000","5.50998","0.69640"
"1.20000","6.01007","0.74531"
"1.30000","6.51004","0.80388"
"1.40000","7.00984","0.84934"
"1.50000","7.50975","0.90095"
"1.60000","8.00995","0.95112"
"1.70000","8.50997","0.99827"
"1.80000","9.01011","1.04455"
"1.90000","9.50997","1.07484"
"2.00000","10.00988","1.11723"
"2.10000","10.50997","1.15868"
"2.20000","11.01011","1.20878"
"2.30000","11.50996","1.25243"
"2.40000","12.00982","1.29181"
"2.50000","12.50985","1.33044"
"2.60000","13.01004","1.36555"
"2.70000","13.51007","1.40029"
"2.80000","14.01004","1.43604"
"2.90000","14.50990","1.47755"
"3.00000","15.00981","1.51454"
"3.10000","15.51001","1.54339"
"3.20000","16.01003","1.57525"
"3.30000","16.50994","1.60466"
"3.40000","17.00986","1.62435"
"3.50000","17.50989","1.66680"
"3.60000","18.01003","1.69583"
"3.70000","18.51005","1.73321"
"3.80000","19.00996","1.75196"
"3.90000","19.50977","1.78318"
"4.00000","20.00985","1.81253"
"4.10000","20.51004","1.84702"
"4.20000","21.01013","1.86119"
"4.30000","21.50999","1.88546"
"4.40000","22.00990","1.91738"
"4.50000","22.50993","1.94002"
"4.60000","23.01007","1.95143"
"4.70000","23.51009","1.97883"
"4.80000","24.00983","2.01345"
"4.90000","24.50980","2.02536"
"5.00000","25.01000","2.06023"
"5.10000","25.51008","2.07390"
"5.20000","26.01011","2.09183"
"5.30000","26.50991","2.11723"
"5.40000","27.00983","2.13692"
"5.50000","27.50991","2.15586"
"5.60000","28.01005","2.18113"
"5.70000","28.50985","2.19843"
"5.80000","29.00993","2.21606"
"5.90000","29.50985","2.23850"
"6.00000","30.01004","2.25437"
"6.10000","30.51007","2.27544"
"6.20000","31.01010","2.27883"
"6.30000","31.50984","2.31131"
"6.40000","32.00975","2.33401"
"6.50000","32.51001","2.35727"
"6.60000","33.01003","2.36467"
"6.70000","33.51000","2.38029"
"6.80000","34.00991","2.40085"
"6.90000","34.50988","2.42343"
"7.00000","35.01003","2.43773"
"7.10000","35.51011","2.45967"
"7.20000","36.00991","2.47378"
"7.30000","36.50976","2.49441"
"7.40000","37.00990","2.51147"
"7.50000","37.51004","2.51937"
"7.60000","38.01013","2.54113"
"7.70000","38.50993","2.55969"
"7.80000","39.00990","2.56922"
"7.90000","39.50981","2.59086"
"8.00000","40.01012","2.61180"
"8.10000","40.51004","2.62127"
"8.20000","41.00989","2.62654"
"8.30000","41.50986","2.64974"
"8.40000","42.00988","2.66335"
"8.50000","42.51003","2.68110"
"8.60000","43.01017","2.69709"
"8.70000","43.50991","2.70499"
"8.80000","44.00977","2.72549"
"8.90000","44.50990","2.74211"
"9.00000","45.01004","2.75979"
"9.10000","45.51001","2.77591"
"9.20000","46.00993","2.79228"
"9.30000","46.50990","2.80557"
"9.40000","47.00998","2.82143"
"9.50000","47.51007","2.83391"
"9.60000","48.01009","2.84577"
"9.70000","48.50978","2.86571"
"9.80000","49.00981","2.87944"
